layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.37648,6.42283,4.95366,2.0664,6.8342,0.0000,0.6601,0.03062,0.4330
1,12,9.49463,5.46819,4.02644,1.5286,6.5234,0.0000,0.7169,0.02175,0.2764
2,12,9.48733,5.80783,3.67949,1.7248,6.6071,0.0000,0.6996,0.02340,0.0000
3,12,10.78495,6.11720,4.66775,1.3995,6.4908,0.0000,0.7177,0.01975,0.3727
4,12,12.49452,6.64771,5.84682,1.2999,6.3917,0.0000,0.7363,0.02129,0.3727
5,12,11.62908,6.50876,5.12032,1.4484,6.0889,0.0000,0.7824,0.01108,0.4330
6,12,11.08030,6.08967,4.99063,1.3483,6.1413,0.0000,0.7762,0.01271,0.3727
7,12,13.03212,6.72038,6.31174,1.0901,5.8088,0.0000,0.8196,0.00744,0.5000
8,12,11.45009,6.14165,5.30845,1.2392,6.1386,0.0000,0.7769,0.01162,0.3727
9,12,13.57848,6.79270,6.78578,1.0238,5.7105,0.0000,0.8301,0.00570,0.4330
10,12,13.88887,7.00250,6.88637,1.0264,5.7082,0.0000,0.8330,0.00551,0.4714
11,12,11.92633,6.46447,5.46186,1.3106,6.0343,0.0000,0.7829,0.01306,0.4330
