anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bank,db4,money,3,0.10,0.9998,34.406,0.2018,1.000
bank,db4,money,3,0.20,0.9985,25.365,0.5663,1.000
bank,db4,money,3,0.30,0.9949,19.952,1.0528,1.000
bank,db4,money,3,0.40,0.9875,16.054,1.6477,1.000
bank,db4,money,3,0.50,0.9740,12.897,2.3694,1.000
bank,db4,river,3,0.10,0.9998,33.902,0.2101,1.000
bank,db4,river,3,0.20,0.9983,24.659,0.6113,1.000
bank,db4,river,3,0.30,0.9946,19.694,1.0842,1.000
bank,db4,river,3,0.40,0.9861,15.607,1.7323,1.000
bank,db4,river,3,0.50,0.9699,12.272,2.5392,1.000
