sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
enclosure,2,239.2239,27.1806,212.0433,9.5386,0.4346,0.1284
writing,2,244.6534,30.5804,214.0731,9.5683,0.4213,0.1397
