i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,writing,enclosure,N,0.3642,0.3703,11.6568,94.6701
0,2,writing,writing,Y,0.6137,0.6227,22.5524,129.2222
0,3,writing,enclosure,N,0.2752,0.2807,4.0959,30.4926
1,2,enclosure,writing,N,0.4312,0.4039,10.8956,34.5521
1,3,enclosure,enclosure,Y,0.7483,0.7429,7.5609,64.1775
2,3,writing,enclosure,N,0.4041,0.3761,18.4565,98.7295
