i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.4038,0.3871,10.3194,91.3173
0,2,game,firestick,N,0.4378,0.4259,11.0047,86.9801
0,3,game,correspond,N,0.3614,0.3597,10.5175,98.6084
0,4,game,game,Y,0.6309,0.6214,10.6696,91.3523
1,2,correspond,firestick,N,0.5616,0.5408,0.6852,4.3372
1,3,correspond,correspond,Y,0.7641,0.7473,0.1981,7.2911
1,4,correspond,game,N,0.4945,0.4747,0.3501,0.0350
2,3,firestick,correspond,N,0.5414,0.5203,0.4872,11.6283
2,4,firestick,game,N,0.5603,0.5383,0.3351,4.3722
3,4,correspond,game,N,0.4600,0.4409,0.1520,7.2561
