token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,haar,0.10,0.9999,35.645,0.0172,0.000,0.0001
2,haar,0.20,0.9989,26.752,0.0477,0.000,0.0011
2,haar,0.30,0.9959,20.843,0.0943,0.000,0.0041
2,haar,0.40,0.9896,16.853,0.1492,0.000,0.0104
2,haar,0.50,0.9781,13.640,0.2160,0.000,0.0219
##s,haar,0.10,0.9999,35.393,0.0189,0.000,0.0001
##s,haar,0.20,0.9987,25.818,0.0570,0.000,0.0013
##s,haar,0.30,0.9958,20.752,0.1022,0.000,0.0042
##s,haar,0.40,0.9889,16.550,0.1657,0.000,0.0111
##s,haar,0.50,0.9765,13.335,0.2400,0.000,0.0235
happy,haar,0.10,0.9999,36.602,0.0177,0.000,0.0001
happy,haar,0.20,0.9989,26.399,0.0575,0.000,0.0011
happy,haar,0.30,0.9958,20.807,0.1094,0.000,0.0042
happy,haar,0.40,0.9893,16.713,0.1752,0.000,0.0107
happy,haar,0.50,0.9784,13.700,0.2479,0.000,0.0216
million,haar,0.10,0.9998,34.275,0.0243,0.000,0.0002
million,haar,0.20,0.9986,25.586,0.0660,0.000,0.0014
million,haar,0.30,0.9947,19.765,0.1290,0.000,0.0053
million,haar,0.40,0.9872,15.930,0.2007,0.000,0.0128
million,haar,0.50,0.9720,12.585,0.2949,0.000,0.0280
[SEP],haar,0.10,0.9999,37.544,0.0160,0.000,0.0001
[SEP],haar,0.20,0.9992,27.952,0.0483,0.000,0.0008
[SEP],haar,0.30,0.9972,22.484,0.0907,0.000,0.0028
[SEP],haar,0.40,0.9937,18.992,0.1355,0.000,0.0063
[SEP],haar,0.50,0.9873,15.975,0.1918,0.000,0.0127
[PAD],haar,0.10,1.0000,42.145,0.0112,0.000,0.0000
[PAD],haar,0.20,0.9996,30.931,0.0406,0.000,0.0004
[PAD],haar,0.30,0.9984,25.042,0.0801,0.000,0.0016
[PAD],haar,0.40,0.9958,20.793,0.1306,0.000,0.0042
