model,sentence_id,wavelet,snapshot,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,reconstruction_error_30pct,compression_ratio_99
distilbert,2,coif2,distilbert_02_She_opened_her_book_and_starte,8.8595,5.21894,3.64056,1.72009,6.79269,0.0,0.65067,0.0473,2.71912
distilbert,2,db4,distilbert_02_She_opened_her_book_and_starte,8.8595,4.78942,4.07008,1.38427,6.78113,0.0,0.65682,0.04212,2.8374
distilbert,2,haar,distilbert_02_She_opened_her_book_and_starte,8.8595,7.07022,1.78928,7.79869,6.33406,1.49605,0.7266,0.03124,4.64307
distilbert,2,sym4,distilbert_02_She_opened_her_book_and_starte,8.85951,5.17516,3.68435,1.6771,6.77396,0.0,0.65607,0.04609,2.79989
distilbert,3,coif2,distilbert_03_The_young_boy_kicked_the_red_b,8.02511,5.0676,2.95751,2.11497,6.77551,0.0,0.65704,0.04549,2.73248
distilbert,3,db4,distilbert_03_The_young_boy_kicked_the_red_b,8.02511,4.30087,3.72424,1.38601,6.81507,0.0,0.65334,0.0409,2.66922
distilbert,3,haar,distilbert_03_The_young_boy_kicked_the_red_b,8.02511,6.48171,1.5434,7.85744,6.40798,1.49193,0.71682,0.03485,4.10119
distilbert,3,sym4,distilbert_03_The_young_boy_kicked_the_red_b,8.02511,5.00195,3.02317,2.02367,6.7593,0.0,0.66164,0.04332,2.80558
distilbert,4,coif2,distilbert_04_The_judge_read_the_brief_and_d,7.92573,4.96014,2.96559,2.03757,6.8094,0.0,0.64842,0.04727,2.6704
distilbert,4,db4,distilbert_04_The_judge_read_the_brief_and_d,7.92573,4.23841,3.68732,1.394,6.82975,0.0,0.64849,0.04413,2.66328
distilbert,4,haar,distilbert_04_The_judge_read_the_brief_and_d,7.92572,6.36656,1.55917,8.51991,6.39711,1.48593,0.71804,0.03426,4.21495
distilbert,4,sym4,distilbert_04_The_judge_read_the_brief_and_d,7.92573,4.89537,3.03036,1.95975,6.79951,0.0,0.65136,0.04591,2.70304
distilbert,5,coif2,distilbert_05_The_plant_near_the_window_need,7.89484,4.84478,3.05007,1.94678,6.80136,0.0,0.65503,0.04305,2.63967
distilbert,5,db4,distilbert_05_The_plant_near_the_window_need,7.89484,4.1222,3.77264,1.28615,6.82928,0.0,0.65257,0.04083,2.60866
distilbert,5,haar,distilbert_05_The_plant_near_the_window_need,7.89484,6.45674,1.43811,7.31516,6.41512,1.48322,0.72071,0.03188,3.98246
distilbert,5,sym4,distilbert_05_The_plant_near_the_window_need,7.89484,4.77726,3.11759,1.86746,6.79594,0.0,0.65661,0.0428,2.66773
distilbert,6,coif2,distilbert_06_Workers_built_a_huge_plant_out,7.84958,4.89745,2.95213,2.31245,6.7936,0.0,0.65364,0.04191,2.70044
distilbert,6,db4,distilbert_06_Workers_built_a_huge_plant_out,7.84958,4.42568,3.42389,1.81761,6.844,0.0,0.645,0.04243,2.63944
distilbert,6,haar,distilbert_06_Workers_built_a_huge_plant_out,7.84958,6.37025,1.47933,6.88599,6.39206,1.52417,0.71724,0.02979,4.30109
distilbert,6,sym4,distilbert_06_Workers_built_a_huge_plant_out,7.84958,4.84017,3.00941,2.23274,6.78586,0.0,0.65584,0.04174,2.74201
distilbert,7,coif2,distilbert_07_Although_the_storm_was_fierce,7.01075,3.0862,3.92455,1.00862,6.80815,0.0,0.65523,0.04669,2.67792
distilbert,7,db4,distilbert_07_Although_the_storm_was_fierce,7.01075,3.66484,3.34592,1.29251,6.83904,0.0,0.64868,0.04653,2.63227
distilbert,7,haar,distilbert_07_Although_the_storm_was_fierce,7.01075,5.87381,1.13694,7.69574,6.43193,1.46169,0.7191,0.03363,3.92157
distilbert,7,sym4,distilbert_07_Although_the_storm_was_fierce,7.01075,3.13277,3.87799,1.03141,6.78634,0.0,0.66023,0.04436,2.75359
distilbert,8,coif2,distilbert_08_They_will_ship_the_packages_to,8.0965,5.02113,3.07536,1.99451,6.78663,0.0,0.65466,0.04432,2.70163
