layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.24511,5.59039,4.65471,1.4647,6.6353,0.0000,0.7017,0.02614,0.4330
1,12,7.93716,4.20369,3.73347,1.1586,6.5056,0.0000,0.7241,0.02160,0.3727
2,12,8.21119,4.27247,3.93872,1.2254,6.5709,0.0000,0.7091,0.02458,0.5000
3,12,9.47149,4.47202,4.99947,1.0315,6.5113,0.0000,0.7139,0.02769,0.4930
4,12,10.63026,4.71011,5.92015,0.9206,6.3592,0.0000,0.7395,0.02473,0.4714
5,12,11.31132,4.36151,6.94981,0.7445,6.0829,0.0000,0.7847,0.01134,0.3727
6,12,10.76932,4.37397,6.39535,0.7611,6.1185,0.0000,0.7776,0.01506,0.3727
7,12,11.83581,4.43160,7.40421,0.6381,5.9933,0.0000,0.7971,0.01174,0.2764
8,12,11.00802,4.33998,6.66804,0.6804,6.0422,0.0000,0.7895,0.01118,0.0000
9,12,12.09527,4.57783,7.51744,0.6631,5.9920,0.0000,0.7984,0.01022,0.2764
10,12,12.21179,4.57944,7.63235,0.6291,6.0086,0.0000,0.7932,0.01077,0.0000
11,12,10.81207,4.77648,6.03559,1.0060,6.1063,0.0000,0.7776,0.01323,0.4930
