layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.11274,8.82639,2.28635,3.5973,6.2880,1.7363,0.7515,0.00000,1.1055
1,12,8.46618,6.62220,1.84398,3.6244,6.1037,1.7621,0.7795,0.00000,0.0000
2,12,8.37863,6.59577,1.78286,3.7329,6.1586,1.7778,0.7688,0.00000,1.1055
3,12,9.87861,7.99031,1.88830,4.3077,5.9489,1.6951,0.7932,0.00000,0.0000
4,12,11.60568,9.44176,2.16391,4.3931,5.8322,1.6659,0.8053,0.00000,0.0000
5,12,11.41254,9.13171,2.28083,4.0677,5.5205,1.6992,0.8363,0.00000,0.0000
6,12,11.25769,8.93115,2.32653,3.8040,5.4008,1.7239,0.8491,0.00000,0.0000
7,12,12.63508,10.16826,2.46682,4.1310,5.1617,1.6764,0.8685,0.00000,0.0000
8,12,11.38122,9.11404,2.26718,4.0898,5.4023,1.7010,0.8471,0.00000,0.0000
9,12,12.88126,10.18202,2.69924,3.8508,5.0897,1.7078,0.8750,0.00000,0.0000
10,12,12.59774,10.23505,2.36269,4.4491,5.3308,1.6581,0.8598,0.00000,0.0000
11,12,11.64006,9.15482,2.48525,3.6527,5.4714,1.7275,0.8358,0.00000,1.1055
