li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,0,6,11,0.8513,0.8326,0.8666,0.8233,0.0455
0,0,7,0,0.7975,0.8016,0.8549,0.7608,0.0556
0,0,7,1,0.7879,0.7604,0.8173,0.7609,0.0710
0,0,7,2,0.7538,0.6997,0.7917,0.7304,0.0885
0,0,7,3,0.8915,0.8957,0.9282,0.8672,0.0341
0,0,7,4,0.8443,0.8305,0.8356,0.8200,0.0522
0,0,7,5,0.8319,0.8104,0.8499,0.8043,0.0558
0,0,7,6,0.7947,0.7657,0.8313,0.7665,0.0690
0,0,7,7,0.7762,0.7410,0.8086,0.7516,0.0811
0,0,7,8,0.8753,0.8863,0.9040,0.8505,0.0407
0,0,7,9,0.8426,0.8265,0.8677,0.8180,0.0560
0,0,7,10,0.7675,0.7251,0.7987,0.7437,0.0845
0,0,7,11,0.7658,0.7165,0.8003,0.7416,0.0854
0,0,8,0,0.7916,0.7538,0.8233,0.7646,0.0728
0,0,8,1,0.7676,0.7268,0.7982,0.7438,0.0843
0,0,8,2,0.8521,0.8352,0.8654,0.8259,0.0479
0,0,8,3,0.8086,0.7915,0.8471,0.7834,0.0678
0,0,8,4,0.8316,0.8208,0.8412,0.8045,0.0531
0,0,8,5,0.9127,0.9087,0.9337,0.8914,0.0232
0,0,8,6,0.7833,0.7573,0.8233,0.7555,0.0728
0,0,8,7,0.7501,0.7965,0.8377,0.7015,0.0530
0,0,8,8,0.8786,0.8911,0.9028,0.8511,0.0302
0,0,8,9,0.8601,0.8615,0.9010,0.8319,0.0417
0,0,8,10,0.8432,0.8330,0.8789,0.8160,0.0516
0,0,8,11,0.7994,0.7747,0.8491,0.7732,0.0703
0,0,9,0,0.8321,0.8587,0.9128,0.8045,0.0568
0,0,9,1,0.7621,0.7127,0.7955,0.7379,0.0857
0,0,9,2,0.8466,0.8665,0.9007,0.8202,0.0505
0,0,9,3,0.8489,0.8588,0.8867,0.8156,0.0394
0,0,9,4,0.7737,0.7408,0.8135,0.7481,0.0790
0,0,9,5,0.8126,0.7894,0.8546,0.7870,0.0680
0,0,9,6,0.7656,0.7187,0.8033,0.7417,0.0855
0,0,9,7,0.8338,0.8173,0.8580,0.8095,0.0592
0,0,9,8,0.8009,0.7826,0.8624,0.7735,0.0669
0,0,9,9,0.7593,0.7084,0.7965,0.7356,0.0875
0,0,9,10,0.8519,0.8337,0.8356,0.8264,0.0449
0,0,9,11,0.7583,0.7060,0.7954,0.7346,0.0880
