category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
noun,9,21.7115,0.1398,1.4123,19.0772,0.075,9.5884,0.048,0.117,0.415,1.360,29.874
adjective,7,21.3178,0.1013,1.7559,18.4312,0.096,9.5813,0.074,0.141,0.419,1.369,29.729
verb,11,20.1501,0.1898,1.4929,17.6375,0.085,9.5929,0.065,-0.072,0.413,1.364,29.167
punctuation,7,14.0307,0.1057,0.8767,12.4395,0.070,9.4270,2.238,20.642,0.464,1.469,25.536
other,13,13.1426,0.0786,0.8239,11.6453,0.068,9.5566,0.149,1.901,0.425,1.379,25.118
number,4,11.2766,0.0661,0.8131,9.9127,0.083,9.5750,0.148,0.633,0.420,1.360,23.994
