sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
boat,2,61720.1333,8293.0337,53427.0997,6.9737,0.8522,0.1552
verb,2,68631.3217,9176.9512,59454.3705,6.9781,0.8529,0.1543
