sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
animal,2,135.6307,9.5015,114.8686,9.5269,0.4385,0.0829
device,2,134.4741,11.2668,112.5680,9.5250,0.4389,0.1000
