i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,device,animal,N,0.7749,0.7510,0.9669,3.9175
0,2,device,device,Y,0.8564,0.8433,1.6596,13.6526
0,3,device,animal,N,0.7274,0.6993,0.9041,14.3364
1,2,animal,device,N,0.7358,0.7096,2.6265,9.7351
1,3,animal,animal,Y,0.8838,0.8761,0.0627,10.4189
2,3,device,animal,N,0.7380,0.7086,2.5638,0.6838
