sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
correspond,2,288.9316,33.9175,255.0141,9.5660,0.4248,0.1335
firestick,1,343.8248,48.7078,295.1170,9.5947,0.4109,0.1650
game,2,257.0428,32.0777,224.9651,9.5625,0.4239,0.1424
