category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
special,5,2.5470,0.2201,0.3502,2.0586,0.210,9.1967,1.097,29.360,0.529,1.707,10.849
adjective,10,2.2049,0.7273,0.8214,1.3012,0.630,9.4585,-1.990,12.979,0.455,1.454,10.930
noun,10,1.9062,0.4991,0.5829,1.2332,0.465,9.5096,-1.369,7.698,0.439,1.409,10.069
verb,11,1.7372,0.3985,0.4720,1.1860,0.388,9.4967,-0.971,7.158,0.445,1.420,9.461
number,4,1.6070,0.5593,0.6109,0.9442,0.637,9.4557,-2.021,14.085,0.452,1.451,9.008
subword,2,1.6009,0.3965,0.4941,1.0445,0.474,9.4944,-1.112,8.216,0.443,1.415,9.075
other,11,1.3548,0.2207,0.2822,1.0082,0.257,9.4464,0.446,13.714,0.460,1.444,7.946
punctuation,7,1.1918,0.1398,0.1976,0.9296,0.213,9.4702,0.731,15.169,0.453,1.441,7.428
