sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
illumination,2,248.4428,26.1779,222.2649,9.5475,0.4310,0.1166
weight,2,274.0622,33.2224,240.8398,9.5567,0.4278,0.1356
