i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.3939,0.3817,13.6632,20.4744
0,2,factory,factory,Y,0.3242,0.3197,12.3566,2.2218
0,3,factory,factory,Y,0.6428,0.6335,11.7194,5.9872
0,4,factory,organism,N,0.4006,0.3998,13.5317,22.1959
1,2,organism,factory,N,0.4787,0.4773,1.3065,22.6962
1,3,organism,factory,N,0.5154,0.5223,1.9438,14.4872
1,4,organism,organism,Y,0.7634,0.7692,0.1315,1.7215
2,3,factory,factory,Y,0.5446,0.5347,0.6373,8.2090
2,4,factory,organism,N,0.4342,0.4369,1.1751,24.4177
3,4,factory,organism,N,0.4983,0.5048,1.8123,16.2087
