i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,sound,tree,N,0.9957,0.9954,135.2341,4381.7258
0,2,sound,sound,Y,0.9993,0.9991,301.9617,9134.2286
0,3,sound,tree,N,0.9950,0.9939,79.0178,2091.6195
1,2,tree,sound,N,0.9962,0.9961,166.7276,4752.5028
1,3,tree,tree,Y,0.9979,0.9971,56.2163,2290.1064
2,3,sound,tree,N,0.9958,0.9951,222.9439,7042.6092
