sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,53781.2846,1708.2204,52073.0642,6.6625,0.8591,0.0328
tree,2,55155.5811,1752.0752,53403.5059,6.7317,0.8478,0.0328
