i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.9969,0.9967,1125.2563,11861.1810
0,2,game,firestick,N,0.9958,0.9957,735.1424,8778.8785
0,3,game,correspond,N,0.9980,0.9977,762.4757,8220.6508
0,4,game,game,Y,0.9988,0.9986,156.6476,1521.0796
1,2,correspond,firestick,N,0.9962,0.9962,390.1140,3082.3025
1,3,correspond,correspond,Y,0.9957,0.9957,362.7806,3640.5302
1,4,correspond,game,N,0.9970,0.9968,968.6087,10340.1014
2,3,firestick,correspond,N,0.9950,0.9949,27.3333,558.2277
2,4,firestick,game,N,0.9961,0.9959,578.4948,7257.7989
3,4,correspond,game,N,0.9979,0.9976,605.8281,6699.5712
