sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,139.1248,7.5336,122.6144,9.5508,0.4254,0.0614
river,3,139.3082,7.8825,123.5397,9.5478,0.4255,0.0631
