i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.5553,0.5307,0.8595,9.8271
0,2,money,money,Y,0.8310,0.8227,0.6291,1.1221
0,3,money,river,N,0.6773,0.6616,2.0716,20.1152
0,4,money,money,Y,0.8797,0.8724,0.1120,3.5491
0,5,money,river,N,0.5634,0.5394,1.7417,17.7351
1,2,river,money,N,0.6526,0.6370,1.4886,8.7050
1,3,river,river,Y,0.8242,0.8180,2.9311,29.9423
1,4,river,money,N,0.5492,0.5283,0.7475,6.2780
1,5,river,river,Y,0.9047,0.9014,0.8822,7.9081
2,3,money,river,N,0.7456,0.7349,1.4425,21.2373
2,4,money,money,Y,0.8136,0.8068,0.7411,2.4270
2,5,money,river,N,0.6496,0.6328,2.3708,16.6130
3,4,river,money,N,0.6363,0.6187,2.1836,23.6643
3,5,river,river,Y,0.8052,0.8019,3.8133,37.8503
4,5,money,river,N,0.5615,0.5424,1.6297,14.1861
