token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,db4,0.10,0.9997,32.696,0.0661,0.000,0.0003
2,db4,0.20,0.9977,23.394,0.1928,0.000,0.0023
2,db4,0.30,0.9925,18.255,0.3484,0.000,0.0075
2,db4,0.40,0.9806,14.162,0.5581,0.000,0.0194
2,db4,0.50,0.9623,11.310,0.7750,0.000,0.0377
happy,db4,0.10,0.9996,31.448,0.1073,0.000,0.0004
happy,db4,0.20,0.9976,23.179,0.2780,0.000,0.0024
happy,db4,0.30,0.9922,18.069,0.5007,0.000,0.0078
happy,db4,0.40,0.9823,14.545,0.7512,0.000,0.0177
happy,db4,0.50,0.9683,12.043,1.0020,0.000,0.0317
million,db4,0.10,0.9997,31.670,0.1010,0.000,0.0003
million,db4,0.20,0.9973,22.654,0.2852,0.000,0.0027
million,db4,0.30,0.9914,17.652,0.5073,0.000,0.0086
million,db4,0.40,0.9817,14.405,0.7372,0.000,0.0183
million,db4,0.50,0.9643,11.541,1.0252,0.000,0.0357
is,db4,0.10,0.9997,32.957,0.0776,0.053,0.0003
is,db4,0.20,0.9977,23.417,0.2327,0.053,0.0023
is,db4,0.30,0.9931,18.601,0.4052,0.053,0.0069
is,db4,0.40,0.9830,14.732,0.6326,0.053,0.0170
is,db4,0.50,0.9648,11.607,0.9064,0.053,0.0352
?,db4,0.10,0.9998,33.468,0.0667,0.000,0.0002
?,db4,0.20,0.9981,24.131,0.1953,0.053,0.0019
?,db4,0.30,0.9930,18.576,0.3702,0.000,0.0070
?,db4,0.40,0.9831,14.737,0.5760,0.000,0.0169
?,db4,0.50,0.9668,11.847,0.8034,0.000,0.0332
1,db4,0.10,0.9997,32.787,0.0663,0.000,0.0003
1,db4,0.20,0.9979,23.686,0.1890,0.000,0.0021
1,db4,0.30,0.9930,18.557,0.3410,0.000,0.0070
1,db4,0.40,0.9834,14.829,0.5238,0.000,0.0166
1,db4,0.50,0.9672,11.907,0.7333,0.000,0.0328
",",db4,0.10,0.9999,38.862,0.0351,0.000,0.0001
",",db4,0.20,0.9992,27.894,0.1240,0.000,0.0008
",",db4,0.30,0.9975,22.968,0.2187,0.000,0.0025
",",db4,0.40,0.9931,18.615,0.3610,0.000,0.0069
",",db4,0.50,0.9854,15.379,0.5239,0.000,0.0146
100,db4,0.10,0.9998,34.158,0.0615,0.053,0.0002
100,db4,0.20,0.9983,24.570,0.1855,0.053,0.0017
100,db4,0.30,0.9935,18.853,0.3582,0.053,0.0065
100,db4,0.40,0.9848,15.200,0.5455,0.053,0.0152
100,db4,0.50,0.9658,11.730,0.8134,0.053,0.0342
man,db4,0.10,0.9997,33.006,0.0797,0.000,0.0003
man,db4,0.20,0.9980,23.891,0.2277,0.000,0.0020
man,db4,0.30,0.9928,18.434,0.4268,0.000,0.0072
man,db4,0.40,0.9823,14.547,0.6678,0.000,0.0177
man,db4,0.50,0.9635,11.448,0.9541,0.000,0.0365
city,db4,0.10,0.9996,31.437,0.1053,0.000,0.0004
city,db4,0.20,0.9978,23.518,0.2620,0.000,0.0022
city,db4,0.30,0.9928,18.406,0.4720,0.000,0.0072
city,db4,0.40,0.9828,14.673,0.7253,0.000,0.0172
city,db4,0.50,0.9663,11.783,1.0117,0.000,0.0337
read,db4,0.10,0.9997,31.891,0.0974,0.000,0.0003
read,db4,0.20,0.9978,23.635,0.2519,0.000,0.0022
read,db4,0.30,0.9928,18.440,0.4582,0.000,0.0072
read,db4,0.40,0.9835,14.844,0.6932,0.000,0.0165
read,db4,0.50,0.9648,11.607,1.0063,0.000,0.0352
Ġand,db4,0.10,0.9999,35.815,0.0421,0.000,0.0001
Ġand,db4,0.20,0.9988,26.182,0.1278,0.000,0.0012
Ġand,db4,0.30,0.9958,20.788,0.2378,0.000,0.0042
Ġand,db4,0.40,0.9895,16.814,0.3757,0.000,0.0105
Ġand,db4,0.50,0.9780,13.605,0.5437,0.000,0.0220
the,db4,0.10,0.9998,33.371,0.0643,0.000,0.0002
the,db4,0.20,0.9981,24.221,0.1843,0.000,0.0019
the,db4,0.30,0.9934,18.839,0.3425,0.000,0.0066
the,db4,0.40,0.9828,14.684,0.5525,0.000,0.0172
the,db4,0.50,0.9653,11.660,0.7826,0.000,0.0347
it,db4,0.10,0.9997,31.987,0.0860,0.000,0.0003
it,db4,0.20,0.9973,22.689,0.2509,0.000,0.0027
it,db4,0.30,0.9917,17.821,0.4394,0.000,0.0083
it,db4,0.40,0.9812,14.292,0.6596,0.000,0.0188
it,db4,0.50,0.9646,11.576,0.9017,0.000,0.0354
king,db4,0.10,0.9998,33.519,0.0876,0.053,0.0002
king,db4,0.20,0.9981,24.261,0.2542,0.053,0.0019
king,db4,0.30,0.9932,18.670,0.4839,0.053,0.0068
king,db4,0.40,0.9825,14.602,0.7729,0.053,0.0175
king,db4,0.50,0.9645,11.559,1.0973,0.053,0.0355
computer,db4,0.10,0.9998,33.464,0.0810,0.000,0.0002
computer,db4,0.20,0.9979,23.704,0.2491,0.000,0.0021
computer,db4,0.30,0.9922,18.080,0.4760,0.000,0.0078
computer,db4,0.40,0.9806,14.147,0.7486,0.000,0.0194
computer,db4,0.50,0.9625,11.336,1.0346,0.000,0.0375
apple,db4,0.10,0.9997,32.766,0.1041,0.053,0.0003
apple,db4,0.20,0.9979,23.794,0.2923,0.053,0.0021
apple,db4,0.30,0.9933,18.715,0.5246,0.053,0.0067
apple,db4,0.40,0.9833,14.803,0.8231,0.053,0.0167
apple,db4,0.50,0.9657,11.718,1.1741,0.053,0.0343
language,db4,0.10,0.9997,32.878,0.0939,0.000,0.0003
language,db4,0.20,0.9975,22.971,0.2936,0.000,0.0025
language,db4,0.30,0.9913,17.611,0.5443,0.000,0.0087
language,db4,0.40,0.9813,14.301,0.7967,0.000,0.0187
language,db4,0.50,0.9590,10.953,1.1714,0.000,0.0410
orange,db4,0.10,0.9998,33.363,0.0834,0.000,0.0002
orange,db4,0.20,0.9982,24.335,0.2359,0.000,0.0018
orange,db4,0.30,0.9934,18.792,0.4466,0.000,0.0066
orange,db4,0.40,0.9831,14.745,0.7116,0.000,0.0169
orange,db4,0.50,0.9656,11.697,1.0107,0.000,0.0344
for,db4,0.10,0.9997,32.064,0.0813,0.000,0.0003
for,db4,0.20,0.9975,23.070,0.2291,0.000,0.0025
for,db4,0.30,0.9931,18.636,0.3817,0.000,0.0069
for,db4,0.40,0.9823,14.547,0.6112,0.000,0.0177
for,db4,0.50,0.9629,11.378,0.8803,0.000,0.0371
write,db4,0.10,0.9998,33.026,0.0890,0.000,0.0002
write,db4,0.20,0.9981,24.118,0.2483,0.000,0.0019
write,db4,0.30,0.9932,18.680,0.4644,0.000,0.0068
write,db4,0.40,0.9822,14.533,0.7485,0.000,0.0178
write,db4,0.50,0.9621,11.285,1.0879,0.000,0.0379
woman,db4,0.10,0.9997,32.017,0.1031,0.000,0.0003
woman,db4,0.20,0.9977,23.327,0.2804,0.000,0.0023
woman,db4,0.30,0.9924,18.213,0.5052,0.000,0.0076
woman,db4,0.40,0.9821,14.488,0.7758,0.000,0.0179
woman,db4,0.50,0.9648,11.602,1.0816,0.000,0.0352
tall,db4,0.10,0.9997,32.692,0.0972,0.053,0.0003
tall,db4,0.20,0.9979,23.871,0.2684,0.053,0.0021
tall,db4,0.30,0.9938,19.072,0.4665,0.053,0.0062
tall,db4,0.40,0.9847,15.181,0.7301,0.053,0.0153
tall,db4,0.50,0.9699,12.268,1.0210,0.053,0.0301
