layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.24511,5.87810,4.36701,1.9880,6.6641,0.0000,0.6956,0.02210,0.3727
1,12,7.93716,4.81737,3.11979,1.6883,6.5448,0.0000,0.7176,0.01787,0.2764
2,12,8.21119,5.11700,3.09419,1.8734,6.5532,0.0000,0.7113,0.02089,0.0000
3,12,9.47149,5.58990,3.88158,1.5412,6.4857,0.0000,0.7187,0.02279,0.0000
4,12,10.63026,5.85085,4.77941,1.4332,6.3989,0.0000,0.7346,0.02046,0.2764
5,12,11.31132,6.25036,5.06097,1.3917,6.0359,0.0000,0.7889,0.01027,0.0000
6,12,10.76932,6.14690,4.62242,1.4577,6.0653,0.0000,0.7847,0.01165,0.0000
7,12,11.83581,6.44039,5.39542,1.2482,5.9541,0.0000,0.8004,0.00845,0.0000
8,12,11.00802,6.15300,4.85502,1.3051,6.0285,0.0000,0.7911,0.01072,0.0000
9,12,12.09527,6.66564,5.42963,1.3058,5.9033,0.0000,0.8060,0.00921,0.0000
10,12,12.21179,6.66838,5.54341,1.2477,5.9579,0.0000,0.7986,0.01081,0.0000
11,12,10.81207,6.38155,4.43052,1.6970,6.1298,0.0000,0.7707,0.01415,0.0000
