layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.03558,6.27858,4.75700,2.0770,6.7881,0.0000,0.6690,0.03070,0.4330
1,12,8.65486,5.21443,3.44042,1.6251,6.5860,0.0000,0.7076,0.02041,0.2764
2,12,8.90427,5.47705,3.42722,1.7063,6.6368,0.0000,0.6948,0.02531,0.0000
3,12,10.84634,6.17492,4.67142,1.4376,6.5434,0.0000,0.7051,0.02668,0.0000
4,12,11.70341,6.30153,5.40188,1.3170,6.4177,0.0000,0.7315,0.02113,0.3727
5,12,11.53291,6.27307,5.25984,1.3266,6.1496,0.0000,0.7717,0.01398,0.0000
6,12,10.78533,6.11429,4.67103,1.4517,6.1372,0.0000,0.7731,0.01306,0.0000
7,12,12.38671,6.81172,5.57499,1.2766,5.8926,0.0000,0.8085,0.00821,0.0000
8,12,11.09133,6.11546,4.97587,1.3039,6.1614,0.0000,0.7726,0.01096,0.0000
9,12,12.48977,6.72284,5.76693,1.2365,5.8904,0.0000,0.8056,0.00873,0.0000
10,12,12.65375,6.72291,5.93083,1.1466,5.9241,0.0000,0.8033,0.00884,0.0000
11,12,11.65608,6.55221,5.10387,1.4514,6.0549,0.0000,0.7839,0.01190,0.0000
