layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.54866,5.31109,5.23757,1.4404,6.7471,0.0000,0.6766,0.03541,0.4714
1,12,8.60415,4.33620,4.26794,1.1277,6.5708,0.0000,0.7089,0.02406,0.4930
2,12,8.70532,4.45832,4.24701,1.1859,6.6759,0.0000,0.6860,0.03311,0.4930
3,12,10.31094,4.58618,5.72476,0.9017,6.5458,0.0000,0.7037,0.03133,0.5000
4,12,11.83780,4.77248,7.06531,0.7419,6.3958,0.0000,0.7327,0.02665,0.3727
5,12,11.65740,4.53016,7.12723,0.7140,6.1139,0.0000,0.7799,0.01405,0.2764
6,12,10.83417,4.47543,6.35875,0.7790,6.1032,0.0000,0.7830,0.01223,0.3727
7,12,12.27216,4.62466,7.64750,0.6469,5.9595,0.0000,0.7994,0.01136,0.2764
8,12,11.35537,4.51608,6.83929,0.7116,6.1235,0.0000,0.7795,0.01484,0.2764
9,12,12.71334,5.01397,7.69938,0.6855,5.9676,0.0000,0.8013,0.01009,0.0000
10,12,12.61149,4.93306,7.67843,0.6918,5.9997,0.0000,0.7977,0.00996,0.2764
11,12,11.33782,5.05521,6.28261,1.0701,6.1121,0.0000,0.7781,0.01389,0.4714
