i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,machine,bird,N,0.9984,0.9980,906.9612,15467.1274
0,2,machine,machine,Y,0.9992,0.9991,143.9116,2699.8462
0,3,machine,bird,N,0.9990,0.9989,30.6294,725.4595
1,2,bird,machine,N,0.9988,0.9986,1050.8728,18166.9735
1,3,bird,bird,Y,0.9992,0.9989,876.3318,16192.5869
2,3,machine,bird,N,0.9994,0.9993,174.5410,1974.3866
