sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
bird,2,51206.5591,2538.8278,45754.4984,7.2236,0.8479,0.0555
machine,2,61054.6025,3079.5788,54475.2553,7.1413,0.8576,0.0565
