layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.27012,2.75330,1.51682,2.6307,7.2249,0.0000,0.5497,0.05939,0.0000
1,12,5.96156,3.72142,2.24014,2.1570,6.9994,0.0000,0.6091,0.05138,0.2764
2,12,7.48627,4.06359,3.42268,1.8083,7.0866,0.0000,0.5874,0.06321,0.4330
3,12,5.28435,3.14147,2.14288,1.9110,7.2065,0.0000,0.5559,0.07133,0.4330
4,12,7.16529,4.47779,2.68750,1.7054,6.9474,0.0000,0.6220,0.05970,0.0000
5,12,8.77392,5.44548,3.32845,1.6564,6.7150,0.0000,0.6728,0.04395,0.0000
6,12,8.64674,5.18859,3.45815,1.5449,6.8228,0.0000,0.6561,0.05008,0.0000
7,12,9.20641,5.87783,3.32858,1.8833,6.6016,0.0000,0.6929,0.03738,0.2764
8,12,7.64551,5.03676,2.60876,2.1070,6.7705,0.0000,0.6509,0.04722,0.0000
9,12,7.15235,4.87080,2.28156,2.5297,6.7850,0.0000,0.6458,0.05221,0.0000
10,12,12.37391,6.73158,5.64232,1.5145,6.6617,0.0000,0.6874,0.03962,0.3727
11,12,9.45433,7.48008,1.97425,4.0544,6.2878,0.0000,0.7510,0.02104,0.0000
