layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,4,0,1,1
0,1,6,7,7,6
0,2,4,0,1,1
0,3,6,7,7,4
0,4,7,2,7,4
0,5,6,4,7,4
0,6,4,0,1,5
0,7,4,0,1,1
0,8,7,2,2,6
0,9,4,0,1,1
0,10,4,0,1,1
0,11,4,0,1,1
1,0,7,2,2,1
1,1,0,1,2,1
1,2,0,1,2,1
1,3,4,0,1,0
1,4,0,1,2,1
1,5,4,0,2,1
1,6,7,0,2,1
1,7,4,0,1,0
1,8,0,1,4,1
1,9,5,3,4,1
1,10,7,2,2,0
1,11,6,4,7,4
2,0,4,0,1,5
2,1,5,3,4,1
2,2,7,2,7,0
2,3,7,2,2,1
2,4,7,2,2,1
2,5,7,0,2,0
2,6,5,3,4,1
2,7,4,0,1,0
2,8,0,1,3,2
2,9,7,2,2,0
2,10,4,0,1,0
2,11,5,3,4,1
3,0,1,5,6,1
3,1,0,1,3,1
3,2,7,2,7,0
3,3,0,1,3,5
3,4,3,6,6,1
3,5,5,3,4,1
3,6,4,0,1,0
3,7,7,2,2,0
3,8,7,2,2,0
3,9,0,1,3,2
3,10,5,3,4,1
3,11,7,0,2,5
4,0,0,1,3,2
4,1,7,2,2,5
4,2,1,5,0,1
4,3,7,2,2,7
4,4,5,3,4,1
4,5,0,1,3,1
4,6,0,1,3,0
4,7,7,2,2,1
4,8,1,5,0,1
4,9,0,1,3,1
4,10,1,5,0,1
4,11,2,4,7,3
5,0,3,6,6,1
5,1,3,6,5,1
5,2,7,2,2,0
5,3,4,0,1,1
5,4,0,1,3,2
5,5,1,5,6,1
5,6,5,3,4,1
5,7,0,1,3,2
5,8,5,3,0,1
5,9,3,6,6,1
5,10,7,1,2,1
5,11,0,1,3,1
6,0,4,0,2,1
6,1,1,5,0,1
6,2,1,5,0,1
6,3,5,3,4,0
6,4,5,3,4,1
6,5,5,3,4,1
6,6,1,5,0,1
6,7,0,1,2,0
6,8,0,1,2,1
6,9,3,6,5,1
6,10,3,6,6,1
6,11,0,1,3,1
7,0,0,1,3,1
7,1,1,5,0,1
7,2,3,6,5,1
7,3,5,3,4,1
7,4,5,3,0,1
7,5,5,3,4,1
7,6,5,3,4,1
7,7,3,6,5,1
7,8,7,2,2,0
7,9,5,5,0,1
7,10,3,6,5,1
7,11,3,6,6,1
8,0,1,5,0,1
8,1,3,6,5,1
8,2,5,3,4,1
8,3,1,5,0,1
8,4,0,1,3,5
8,5,7,1,2,1
8,6,3,6,6,1
8,7,0,1,3,5
8,8,5,3,4,5
8,9,0,1,3,0
8,10,5,3,4,1
8,11,1,5,0,1
9,0,5,3,4,5
9,1,3,6,6,1
9,2,5,3,4,5
9,3,0,1,2,5
9,4,3,6,6,1
9,5,1,5,0,1
9,6,3,6,5,1
9,7,1,5,0,1
9,8,1,5,0,1
9,9,3,6,5,1
9,10,0,1,3,5
9,11,3,6,5,1
10,0,5,3,4,5
10,1,3,6,6,1
10,2,3,6,6,1
10,3,1,5,0,1
10,4,5,3,4,5
10,5,5,3,4,1
10,6,5,3,4,5
10,7,5,3,4,5
10,8,3,6,5,1
10,9,0,1,3,1
10,10,3,6,6,1
10,11,0,1,3,5
11,0,4,0,1,1
11,1,1,5,0,1
11,2,1,5,0,1
11,3,0,1,2,5
11,4,5,3,4,1
11,5,3,5,6,1
11,6,3,6,6,1
11,7,1,5,0,1
11,8,7,2,7,0
11,9,3,6,6,1
11,10,0,1,3,5
11,11,0,1,3,5
