layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,1,4,3,2
0,1,5,0,0,0
0,2,4,3,2,5
0,3,0,1,2,2
0,4,5,0,0,3
0,5,5,0,0,0
0,6,5,0,0,3
0,7,5,0,0,3
0,8,1,0,3,1
0,9,5,0,0,3
0,10,4,3,2,4
0,11,1,0,3,3
1,0,4,3,2,4
1,1,1,0,3,3
1,2,1,0,3,3
1,3,1,0,3,3
1,4,1,0,3,3
1,5,1,0,3,3
1,6,5,0,0,3
1,7,1,0,3,3
1,8,5,0,0,3
1,9,4,3,2,4
1,10,1,0,0,3
1,11,1,0,3,3
2,0,0,1,5,1
2,1,1,0,3,1
2,2,1,1,3,1
2,3,2,5,1,1
2,4,0,1,5,1
2,5,0,1,2,1
2,6,0,1,5,0
2,7,0,1,5,0
2,8,0,1,5,1
2,9,0,1,5,1
2,10,0,1,2,2
2,11,0,1,2,1
3,0,1,1,3,2
3,1,0,1,5,1
3,2,0,1,5,1
3,3,0,1,5,0
3,4,0,1,2,0
3,5,1,1,3,1
3,6,2,5,1,1
3,7,2,5,1,1
3,8,0,1,4,1
3,9,0,1,5,0
3,10,0,1,5,3
3,11,0,1,5,0
4,0,0,1,5,0
4,1,0,1,5,2
4,2,1,0,0,2
4,3,0,1,5,0
4,4,2,1,1,1
4,5,1,1,3,1
4,6,2,5,1,1
4,7,0,1,5,0
4,8,1,0,3,1
4,9,2,5,1,1
4,10,1,1,3,1
4,11,1,1,3,1
5,0,3,4,4,3
5,1,3,2,4,3
5,2,3,4,4,3
5,3,0,4,4,3
5,4,3,2,1,3
5,5,3,4,4,3
5,6,3,4,4,3
5,7,3,2,1,3
5,8,1,4,4,3
5,9,3,4,4,3
5,10,3,2,4,3
5,11,3,2,1,3
