i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,boat,verb,N,0.6475,0.6244,1.7963,15.9564
0,2,boat,boat,Y,0.7329,0.7182,0.6639,18.7824
0,3,boat,verb,N,0.5465,0.5290,0.6871,7.9128
1,2,verb,boat,N,0.4968,0.4740,1.1324,2.8260
1,3,verb,verb,Y,0.6721,0.6577,2.4834,8.0436
2,3,boat,verb,N,0.4459,0.4301,1.3510,10.8696
