sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
boat,2,219.6971,26.2873,193.4098,9.5542,0.4255,0.1363
verb,2,222.0178,26.0646,195.9531,9.5658,0.4207,0.1332
