sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
correspond,2,50407.8955,6699.6496,43708.2459,7.0985,0.8389,0.1534
firestick,1,51918.3458,6892.5604,45025.7854,7.0277,0.8404,0.1531
game,2,61238.7004,8067.3765,53171.3238,7.0233,0.8477,0.1517
