category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
special,5,2.5470,0.2062,0.2815,2.2655,0.154,9.1654,-1.994,49.508,0.529,1.750,10.797
adjective,10,2.2049,0.7164,0.7635,1.4415,0.528,9.5025,-5.751,105.828,0.433,1.440,10.983
noun,10,1.9062,0.4904,0.5311,1.3750,0.379,9.5275,-4.004,64.753,0.427,1.411,10.089
verb,11,1.7372,0.3886,0.4334,1.3038,0.323,9.5138,-3.267,50.642,0.433,1.422,9.480
number,4,1.6070,0.5554,0.5782,1.0288,0.553,9.4812,-6.184,118.030,0.439,1.459,9.033
subword,2,1.6009,0.3851,0.4430,1.1579,0.384,9.4999,-3.824,58.391,0.437,1.426,9.080
other,11,1.3548,0.2101,0.2448,1.1100,0.200,9.4331,-2.051,31.423,0.462,1.469,7.935
punctuation,7,1.1918,0.1291,0.1666,1.0252,0.163,9.4610,-1.580,21.353,0.452,1.447,7.421
