token,index,energy,entropy,info_score
##anor,27869,9.1614,9.4161,21.8321
##lland,26087,8.5511,9.3681,21.1407
##lika,25421,8.1299,9.3668,20.7152
##adan,26335,7.9659,9.3775,20.5689
##gano,29451,7.8129,9.4140,20.4869
##lho,28061,7.8114,9.4059,20.4677
##hani,23573,7.7888,9.3584,20.3404
##oku,21940,7.6785,9.4131,20.3402
##eki,26576,7.6424,9.3987,20.2700
##vb,26493,7.4993,9.4184,20.1551
##elis,29282,7.5046,9.4132,20.1500
##alla,25425,7.5192,9.4006,20.1392
##eland,25689,7.4418,9.4333,20.1230
##pse,29251,7.4573,9.4204,20.1128
##oit,28100,7.3903,9.4459,20.0922
##anto,21634,7.3993,9.4185,20.0440
##jad,27875,7.3151,9.4350,19.9840
##lash,27067,7.2885,9.4443,19.9734
##khov,25495,7.3512,9.4102,19.9722
##stov,29473,7.4183,9.3619,19.9447
##coll,26895,7.1472,9.4368,19.7954
##jm,24703,7.1467,9.4318,19.7842
##olt,27914,7.1665,9.4184,19.7791
##uet,23361,7.1331,9.4295,19.7637
##kshi,27488,7.1996,9.3881,19.7533
##rka,22379,7.1749,9.3943,19.7381
##lbert,23373,7.2129,9.3713,19.7332
##ieri,21939,7.1781,9.3882,19.7290
##nem,25832,7.1110,9.3939,19.6635
amman,25703,7.0495,9.4169,19.6401
##gart,27378,7.0085,9.4310,19.6212
##vitt,28656,7.0438,9.3917,19.5807
##bola,24290,6.9402,9.4270,19.5322
##litz,24725,6.9424,9.4125,19.5048
##dim,22172,6.8289,9.4355,19.4165
##icon,28524,6.8474,9.4232,19.4135
##mble,19661,6.7952,9.4218,19.3477
##iste,27870,6.7344,9.4578,19.3477
##sul,23722,6.7260,9.4464,19.3140
##kti,22462,6.7533,9.4136,19.2800
##tura,27431,6.8052,9.3823,19.2788
##pani,26569,6.6736,9.4488,19.2545
##jic,25008,6.7475,9.4032,19.2517
lucie,28831,6.7151,9.4207,19.2481
##sund,25168,6.6890,9.4335,19.2423
##sari,22740,6.6846,9.4342,19.2383
##kong,25460,6.6834,9.4202,19.2084
##ngo,16656,6.6738,9.4216,19.1994
820,26667,6.9912,9.2329,19.1892
##mme,20058,6.6911,9.4049,19.1866
##lley,25105,6.7014,9.3941,19.1771
##dara,25329,6.6580,9.4066,19.1495
florian,29517,6.6842,9.3761,19.1194
##kker,23793,6.6365,9.3963,19.1020
##sell,23836,6.5606,9.4402,19.0971
451,28161,6.8147,9.2819,19.0837
##rchy,29389,6.5279,9.4505,19.0769
##hre,28362,6.5483,9.4275,19.0559
##lma,19145,6.5062,9.4512,19.0511
##bino,21891,6.5218,9.4235,19.0148
##you,29337,6.5206,9.4211,19.0084
##hiff,25798,6.5462,9.4021,19.0021
##lston,21540,6.5618,9.3912,18.9994
##pta,22799,6.5389,9.3998,18.9884
##ckle,19250,6.4837,9.4183,18.9565
875,27658,6.7158,9.2574,18.9154
##gist,24063,6.3592,9.4764,18.9145
##anal,27953,6.3730,9.4636,18.9067
##brick,25646,6.4387,9.4139,18.8908
##erry,19826,6.3787,9.4485,18.8839
##bate,20179,6.4053,9.4315,18.8838
##ulio,24825,6.3906,9.4365,18.8750
##wai,21547,6.3746,9.4440,18.8696
##iji,27821,6.4392,9.3914,18.8463
##ssler,23385,6.3886,9.4146,18.8287
329,29567,6.7092,9.2134,18.8175
##rse,22573,6.3228,9.4356,18.7862
##hema,28433,6.3356,9.4225,18.7765
##aran,20486,6.2616,9.4705,18.7761
##xin,20303,6.3280,9.4254,18.7727
##ood,17139,6.2749,9.4564,18.7655
##uter,19901,6.2939,9.4387,18.7551
980,25195,6.5331,9.2806,18.7405
##uchi,15217,6.2812,9.4262,18.7137
##cius,25393,6.2400,9.4523,18.7119
##egan,20307,6.2623,9.4358,18.7082
##iot,25185,6.2713,9.4248,18.6983
##cao,20808,6.2690,9.4195,18.6846
##otic,20214,6.1967,9.4600,18.6706
boca,22765,6.1817,9.4451,18.6213
##rsa,22381,6.1671,9.4390,18.5902
##amo,22591,6.2053,9.4099,18.5828
##ining,24002,6.1669,9.4338,18.5795
##nah,15272,6.1723,9.4229,18.5653
##scan,29378,6.2095,9.3881,18.5453
##uda,14066,6.1824,9.4022,18.5377
417,27519,6.4220,9.2421,18.5255
##mage,26860,6.0937,9.4417,18.4982
##abia,29039,6.0634,9.4577,18.4892
##ffe,16020,6.0277,9.4695,18.4642
##lding,24573,6.0659,9.4317,18.4417
##rva,19146,6.0679,9.4229,18.4272
242,22431,6.3005,9.2669,18.4220
##oper,25918,6.0133,9.4474,18.4017
##kor,21815,6.0683,9.4050,18.3927
268,25143,6.3556,9.2004,18.3592
##church,22743,5.9992,9.4242,18.3376
##oning,13369,5.9190,9.4758,18.3288
##bies,20536,5.9258,9.4683,18.3237
##rien,23144,5.9300,9.4595,18.3122
##lford,23211,6.0437,9.3760,18.3032
##bis,18477,5.9277,9.4517,18.2942
273,25371,6.3242,9.1868,18.2925
##icular,21412,5.9099,9.4604,18.2866
##toy,29578,5.9078,9.4542,18.2717
##erik,27350,5.9021,9.4540,18.2635
##kat,24498,5.8891,9.4597,18.2567
bangs,28490,5.9387,9.4203,18.2483
##sos,17063,5.9018,9.4430,18.2417
##hil,19466,5.8915,9.4417,18.2253
##amine,19915,5.8759,9.4359,18.1926
##orus,21694,5.8865,9.4199,18.1762
##uw,25974,5.9030,9.4020,18.1642
323,25392,6.1527,9.2314,18.1627
gael,28151,5.8190,9.4608,18.1620
##bilis,27965,5.8240,9.4463,18.1411
317,26628,6.2605,9.1496,18.1387
##yme,25219,5.8464,9.4249,18.1310
##ettes,26592,5.8223,9.4405,18.1277
##lund,18028,5.8613,9.4107,18.1241
##tad,17713,5.8077,9.4436,18.1133
donetsk,29151,5.8133,9.4393,18.1129
##ovo,16059,5.7897,9.4441,18.0894
bosch,25936,5.8045,9.4326,18.0878
##vity,24872,5.7670,9.4518,18.0725
##mere,13759,5.7647,9.4441,18.0545
liechtenstein,26500,5.8177,9.4015,18.0465
##hiro,18334,5.8273,9.3735,18.0058
##encies,15266,5.6646,9.4878,17.9965
sino,19432,5.7747,9.4014,17.9868
248,24568,6.1049,9.1705,17.9814
##dhar,25632,5.7285,9.4223,17.9622
##uts,16446,5.7102,9.4345,17.9597
tung,27079,5.6864,9.4404,17.9374
##vati,20203,5.6571,9.4574,17.9283
##nl,20554,5.6665,9.4466,17.9211
##pes,10374,5.6179,9.4831,17.9209
##vio,25500,5.6985,9.4218,17.9191
##oop,18589,5.6714,9.4370,17.9099
197,19975,5.9692,9.2064,17.8742
##venor,26806,5.6699,9.4167,17.8692
heartland,27399,5.6411,9.4193,17.8335
##lent,16136,5.5943,9.4462,17.8174
##west,19650,5.6190,9.4272,17.8168
unsigned,27121,5.6112,9.4238,17.7992
##sdale,15145,5.5361,9.4658,17.7705
##bourg,20431,5.5651,9.4404,17.7646
##wer,13777,5.5610,9.4432,17.7641
ю,1209,5.6860,9.3473,17.7601
##ight,18743,5.6055,9.4065,17.7584
chico,22136,5.5975,9.4050,17.7445
##ocks,25384,5.5958,9.4049,17.7416
richer,26108,5.5822,9.4072,17.7265
##rite,17625,5.5044,9.4664,17.7256
##spar,27694,5.5063,9.4633,17.7226
##chenko,25872,5.4792,9.4708,17.6971
##rned,21119,5.5125,9.4437,17.6948
##kas,13716,5.4838,9.4585,17.6808
mx,25630,5.5521,9.4051,17.6795
##nish,24014,5.4891,9.4485,17.6698
##tec,26557,5.4517,9.4777,17.6697
##tology,23479,5.4726,9.4539,17.6559
regis,20588,5.4038,9.5011,17.6425
cola,15270,5.5040,9.4194,17.6370
##ulton,22145,5.5253,9.4009,17.6331
