sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,63176.8989,5230.8212,53847.0117,7.0517,0.8434,0.0972
river,3,49920.9027,4197.8947,42437.2170,7.1215,0.8322,0.0989
