i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.9948,0.9947,1495.0658,15627.2783
0,2,money,money,Y,0.9988,0.9985,455.4129,5467.1891
0,3,money,river,N,0.9977,0.9972,109.5295,699.6338
0,4,money,money,Y,0.9965,0.9962,482.4204,5691.0868
0,5,money,river,N,0.9965,0.9961,775.4102,8143.4637
1,2,river,money,N,0.9963,0.9962,1950.4787,21094.4674
1,3,river,river,Y,0.9950,0.9949,1604.5953,16326.9122
1,4,river,money,N,0.9868,0.9871,1977.4861,21318.3652
1,5,river,river,Y,0.9990,0.9989,719.6556,7483.8146
2,3,money,river,N,0.9976,0.9971,345.8834,4767.5553
2,4,money,money,Y,0.9951,0.9950,27.0075,223.8977
2,5,money,river,N,0.9977,0.9975,1230.8231,13610.6528
3,4,river,money,N,0.9952,0.9947,372.8908,4991.4530
3,5,river,river,Y,0.9972,0.9968,884.9397,8843.0976
4,5,money,river,N,0.9909,0.9908,1257.8305,13834.5506
