sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
boat,2,61720.1333,1947.7560,59772.3774,6.5229,0.8707,0.0326
verb,2,68631.3217,2184.1759,66447.1458,6.5431,0.8697,0.0329
