layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,6.28240,5.51324,0.76916,13.0882,6.8628,1.3125,0.6332,0.05384,1.7321
1,12,7.16302,6.37592,0.78710,8.2086,6.7229,1.3894,0.6694,0.03631,1.4907
2,12,6.67054,5.67068,0.99987,6.8144,6.5283,1.5159,0.7034,0.03148,1.1055
3,12,8.72499,7.28060,1.44439,5.7086,6.2228,1.5601,0.7572,0.01927,0.0000
4,12,7.01156,5.88881,1.12276,5.7320,6.2448,1.5839,0.7454,0.02757,1.1055
5,12,10.26166,6.38561,3.87605,1.7226,6.1144,1.6014,0.7711,0.02562,1.4907
