i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,boat,verb,N,0.6475,0.6244,0.3248,14.4848
0,2,boat,boat,Y,0.7329,0.7182,1.8032,16.3152
0,3,boat,verb,N,0.5465,0.5290,0.4921,9.0920
1,2,verb,boat,N,0.4968,0.4740,2.1280,1.8304
1,3,verb,verb,Y,0.6721,0.6577,0.1673,5.3929
2,3,boat,verb,N,0.4459,0.4301,2.2953,7.2233
