sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
boat,2,219.6971,6.7120,212.9851,9.5348,0.4363,0.0314
verb,2,222.0178,5.4020,216.6158,9.5513,0.4281,0.0249
