layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.97123,5.77391,5.19732,1.4314,6.6490,0.0000,0.7009,0.03090,0.4714
1,12,8.84032,4.35544,4.48488,1.0115,6.4690,0.0000,0.7301,0.01923,0.4714
2,12,8.80889,4.22509,4.58380,1.0128,6.5797,0.0000,0.7023,0.02510,0.4930
3,12,10.35769,4.79095,5.56673,0.9579,6.4896,0.0000,0.7168,0.02441,0.4930
4,12,11.65094,5.06278,6.58815,0.8888,6.3801,0.0000,0.7344,0.02538,0.4330
5,12,11.53255,4.72181,6.81075,0.8378,6.1629,0.0000,0.7737,0.01286,0.4330
6,12,11.33326,4.58282,6.75044,0.7860,6.0781,0.0000,0.7818,0.01388,0.3727
7,12,12.17117,4.78825,7.38292,0.6924,6.0286,0.0000,0.7907,0.01309,0.2764
8,12,11.68942,4.74663,6.94279,0.7299,6.0088,0.0000,0.7945,0.01097,0.2764
9,12,12.86374,4.85752,8.00622,0.6734,5.8572,0.0000,0.8115,0.00886,0.3727
10,12,12.91942,4.89692,8.02250,0.6314,5.8712,0.0000,0.8104,0.00961,0.0000
11,12,11.21517,4.94432,6.27085,0.9834,6.0788,0.0000,0.7781,0.01655,0.4714
