layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.36156,5.89082,5.47074,1.4784,6.6300,0.0000,0.7013,0.02764,0.4330
1,12,8.93749,4.25599,4.68150,0.9776,6.5195,0.0000,0.7208,0.02358,0.4714
2,12,8.95350,4.43788,4.51562,1.1273,6.6810,0.0000,0.6841,0.03332,0.5000
3,12,10.69311,4.55438,6.13873,0.8297,6.5368,0.0000,0.7087,0.02762,0.4330
4,12,11.75920,4.93207,6.82713,0.8394,6.4592,0.0000,0.7204,0.03065,0.4714
5,12,12.02611,4.58632,7.43979,0.6796,6.1608,0.0000,0.7687,0.01754,0.2764
6,12,11.04334,4.53578,6.50756,0.7834,6.1524,0.0000,0.7727,0.01564,0.4330
7,12,12.15630,4.62353,7.53277,0.6520,6.0447,0.0000,0.7869,0.01289,0.2764
8,12,11.11336,4.50924,6.60412,0.7184,6.1535,0.0000,0.7719,0.01690,0.2764
9,12,12.70792,5.01944,7.68848,0.6968,5.9495,0.0000,0.8016,0.01049,0.2764
10,12,13.14688,4.96905,8.17783,0.6246,5.8591,0.0000,0.8148,0.00777,0.0000
11,12,11.73581,4.86897,6.86683,0.8945,6.0213,0.0000,0.7877,0.01255,0.2764
