layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.51713,5.36392,5.15320,1.4381,6.7336,0.0000,0.6810,0.03430,0.4714
1,12,8.10036,4.17344,3.92692,1.2038,6.5167,0.0000,0.7209,0.02141,0.4714
2,12,8.70214,4.37130,4.33084,1.1695,6.6402,0.0000,0.6948,0.02848,0.4714
3,12,10.19397,4.72584,5.46814,1.0118,6.4811,0.0000,0.7190,0.02449,0.5000
4,12,11.84184,5.06272,6.77912,0.7964,6.3818,0.0000,0.7365,0.02671,0.3727
5,12,11.64559,4.84509,6.80050,0.7912,6.0363,0.0000,0.7907,0.01328,0.3727
6,12,10.86968,4.59953,6.27015,0.8095,6.0971,0.0000,0.7846,0.01321,0.2764
7,12,12.37319,4.78275,7.59044,0.6714,5.8360,0.0000,0.8152,0.01036,0.2764
8,12,11.32525,4.58004,6.74520,0.7180,6.0127,0.0000,0.7965,0.00994,0.2764
9,12,12.89190,5.06733,7.82457,0.6793,5.7529,0.0000,0.8288,0.00780,0.2764
10,12,13.01565,4.97362,8.04204,0.6401,5.7316,0.0000,0.8339,0.00618,0.0000
11,12,11.77968,4.83668,6.94300,0.7766,5.9614,0.0000,0.7976,0.01197,0.4330
