i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.2495,0.2364,0.6292,24.4503
0,2,game,firestick,N,0.2631,0.2626,6.7962,33.4002
0,3,game,correspond,N,0.2458,0.2317,2.4250,41.4849
0,4,game,game,Y,0.5516,0.5499,2.5474,73.8979
1,2,correspond,firestick,N,0.3485,0.3260,6.1670,8.9499
1,3,correspond,correspond,Y,0.6623,0.6554,3.0542,65.9352
1,4,correspond,game,N,0.3106,0.3068,3.1766,98.3482
2,3,firestick,correspond,N,0.3460,0.3286,9.2212,74.8851
2,4,firestick,game,N,0.3105,0.3003,9.3436,107.2981
3,4,correspond,game,N,0.3445,0.3258,0.1224,32.4130
