sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,295.3698,42.0897,253.2800,9.5715,0.4215,0.1669
river,3,289.2155,34.8107,254.4049,9.5799,0.4170,0.1369
