i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,device,animal,N,0.6313,0.6178,2.4639,10.1940
0,2,device,device,Y,0.6855,0.6763,4.0002,50.1037
0,3,device,animal,N,0.5543,0.5423,5.6695,5.9193
1,2,animal,device,N,0.4992,0.4808,6.4641,39.9097
1,3,animal,animal,Y,0.7753,0.7630,3.2056,16.1133
2,3,device,animal,N,0.4853,0.4802,9.6697,56.0230
