i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,writing,enclosure,N,0.3642,0.3703,3.3679,97.1492
0,2,writing,writing,Y,0.6137,0.6227,12.6236,128.7622
0,3,writing,enclosure,N,0.2752,0.2807,1.8385,31.6295
1,2,enclosure,writing,N,0.4312,0.4039,9.2557,31.6130
1,3,enclosure,enclosure,Y,0.7483,0.7429,1.5294,65.5197
2,3,writing,enclosure,N,0.4041,0.3761,10.7851,97.1327
