sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
illumination,2,160.3002,9.0097,143.0249,9.5505,0.4275,0.0630
weight,2,132.2516,9.5463,115.8274,9.5380,0.4317,0.0821
