i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.5561,0.5434,9.3769,22.1072
0,2,factory,factory,Y,0.4568,0.4500,7.1700,15.8901
0,3,factory,factory,Y,0.7545,0.7478,7.2122,24.7595
0,4,factory,organism,N,0.5397,0.5282,8.4927,7.3098
1,2,organism,factory,N,0.6298,0.6193,2.2069,6.2171
1,3,organism,factory,N,0.6524,0.6447,2.1647,2.6523
1,4,organism,organism,Y,0.8244,0.8233,0.8842,14.7974
2,3,factory,factory,Y,0.5749,0.5630,0.0422,8.8694
2,4,factory,organism,N,0.6005,0.5951,1.3227,8.5803
3,4,factory,organism,N,0.5882,0.5822,1.2805,17.4497
