sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
factory,3,148.6270,11.5018,126.8406,9.5555,0.4252,0.0893
organism,2,140.2346,7.3611,125.6820,9.5555,0.4223,0.0586
