sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
bird,2,291.5830,8.5487,283.0343,9.5831,0.4161,0.0301
machine,2,237.9000,7.5078,230.3922,9.5596,0.4251,0.0325
