layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.36156,6.36217,4.99939,1.9781,6.7300,0.0000,0.6831,0.02574,0.4330
1,12,8.93749,5.20217,3.73532,1.5460,6.5548,0.0000,0.7148,0.01991,0.2764
2,12,8.95350,5.46076,3.49274,1.7393,6.6373,0.0000,0.6945,0.02458,0.0000
3,12,10.69310,5.99611,4.69700,1.3878,6.5013,0.0000,0.7153,0.02345,0.0000
4,12,11.75920,6.42684,5.33236,1.3596,6.4415,0.0000,0.7256,0.02288,0.2764
5,12,12.02611,6.58557,5.44054,1.2863,6.0772,0.0000,0.7808,0.01095,0.0000
6,12,11.04334,6.30742,4.73591,1.4362,6.1081,0.0000,0.7785,0.01193,0.0000
7,12,12.15630,6.66319,5.49311,1.2646,5.9800,0.0000,0.7955,0.00955,0.0000
8,12,11.11336,6.30197,4.81139,1.3659,6.1407,0.0000,0.7741,0.01216,0.0000
9,12,12.70792,7.21323,5.49468,1.3895,5.8644,0.0000,0.8088,0.00862,0.0000
10,12,13.14688,7.24177,5.90510,1.2566,5.7991,0.0000,0.8176,0.00804,0.0000
11,12,11.73580,6.66364,5.07216,1.5740,6.0250,0.0000,0.7819,0.01555,0.0000
