anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,haar,boat,2,0.10,0.9998,33.942,0.2648,1.000
ship,haar,boat,2,0.20,0.9984,24.934,0.7481,1.000
ship,haar,boat,2,0.30,0.9947,19.744,1.3572,1.000
ship,haar,boat,2,0.40,0.9869,15.865,2.1228,1.000
ship,haar,boat,2,0.50,0.9729,12.736,3.0407,1.000
ship,haar,verb,2,0.10,0.9997,32.910,0.2982,1.000
ship,haar,verb,2,0.20,0.9980,24.079,0.8195,1.000
ship,haar,verb,2,0.30,0.9935,18.845,1.4969,1.000
ship,haar,verb,2,0.40,0.9845,15.124,2.2980,1.000
ship,haar,verb,2,0.50,0.9699,12.282,3.1881,1.000
