anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
crane,db4,bird,2,0.10,1.0000,59.861,0.2184,1.000
crane,db4,bird,2,0.20,1.0000,51.072,0.5994,1.000
crane,db4,bird,2,0.30,1.0000,45.815,1.0981,1.000
crane,db4,bird,2,0.40,1.0000,41.486,1.8083,1.000
crane,db4,bird,2,0.50,0.9999,38.365,2.5912,1.000
crane,db4,machine,2,0.10,1.0000,60.612,0.2200,1.000
crane,db4,machine,2,0.20,1.0000,51.765,0.6077,1.000
crane,db4,machine,2,0.30,1.0000,46.548,1.1079,1.000
crane,db4,machine,2,0.40,1.0000,42.406,1.7849,1.000
crane,db4,machine,2,0.50,0.9999,39.269,2.5610,1.000
