layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.27012,3.74794,0.52217,19.2453,7.0009,1.3058,0.5866,0.05883,1.9720
1,12,5.96156,5.24201,0.71955,9.8832,6.6166,1.3864,0.6810,0.04269,1.4907
2,12,7.48627,6.68073,0.80554,9.4865,6.7375,1.3711,0.6550,0.05025,1.1055
3,12,5.28435,4.75404,0.53031,12.3454,6.9433,1.3207,0.6201,0.05224,1.4907
4,12,7.16529,6.22485,0.94044,8.4148,6.5946,1.4440,0.6956,0.04048,1.1055
5,12,8.77392,7.46904,1.30488,6.2786,6.2158,1.5215,0.7567,0.02562,0.0000
6,12,8.64674,7.41149,1.23525,6.6263,6.4155,1.4799,0.7385,0.02386,0.0000
7,12,9.20641,7.61589,1.59051,5.7393,6.2134,1.5525,0.7576,0.02132,0.0000
8,12,7.64551,6.46664,1.17887,6.4050,6.3419,1.5352,0.7282,0.03552,0.0000
9,12,7.15235,5.94626,1.20609,5.7754,6.4301,1.5517,0.7117,0.04135,1.1055
10,12,12.37391,8.06686,4.30705,2.6063,6.2394,1.5118,0.7438,0.03482,1.4907
11,12,9.45433,5.01723,4.43710,1.3045,5.8195,1.7635,0.7984,0.01835,0.9860
