sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
genre,2,144.3321,16.0221,128.3101,9.5397,0.4322,0.1247
stone,2,137.8136,17.1483,120.6653,9.5528,0.4248,0.1423
