i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,writing,enclosure,N,0.4290,0.4299,0.0485,1.7681
0,2,writing,writing,Y,0.5183,0.5172,0.4426,5.7283
0,3,writing,enclosure,N,0.3178,0.3023,1.2573,21.5118
1,2,enclosure,writing,N,0.6766,0.6470,0.3941,3.9602
1,3,enclosure,enclosure,Y,0.7507,0.7346,1.3058,23.2799
2,3,writing,enclosure,N,0.5946,0.5581,1.6999,27.2401
