sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
enclosure,2,112.1411,3.3200,108.8211,9.5080,0.4416,0.0302
writing,2,125.7028,4.1457,121.5571,9.5252,0.4292,0.0341
