category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
noun,9,21.7115,0.1558,1.3571,19.0258,0.072,9.5888,0.035,0.055,0.415,1.361,29.876
adjective,7,21.3178,0.1297,1.6745,18.5516,0.091,9.5879,0.089,0.034,0.416,1.363,29.749
verb,11,20.1501,0.2067,1.3819,17.5396,0.080,9.5902,-0.020,0.054,0.414,1.360,29.160
punctuation,7,14.0307,0.1006,0.7542,12.4277,0.061,9.4090,-0.457,16.954,0.470,1.487,25.487
other,13,13.1426,0.0787,0.8059,11.6008,0.067,9.5381,0.110,2.526,0.434,1.395,25.068
number,4,11.2766,0.0592,0.7109,9.8857,0.073,9.5650,0.066,0.618,0.426,1.374,23.969
