token,index,energy,entropy,info_score
enegger,44028,49.5116,9.6128,37.7035
terday,6432,45.7610,9.6186,36.9840
Ħ¢,8008,38.7831,9.5695,35.2488
arthed,36370,36.9512,9.5905,34.8741
"]=>,23785,37.1420,9.5767,34.8719
atform,3390,35.6648,9.6095,34.6118
ollah,17999,35.8386,9.5963,34.6094
anooga,42165,35.9362,9.5763,34.5627
agher,30450,35.7333,9.5864,34.5462
aeda,11641,35.4766,9.5934,34.5043
krit,44531,35.3546,9.5987,34.4911
ibur,38616,35.7764,9.5679,34.4909
agos,48215,35.7254,9.5712,34.4896
ibrary,4115,35.8335,9.5483,34.4349
stocks,29522,34.5898,9.5827,34.2300
perty,9287,34.2383,9.5920,34.1681
edin,27152,34.2021,9.5603,34.0452
quartered,42508,33.8524,9.5851,34.0380
Ġproble,1369,33.4408,9.6098,34.0113
cham,49869,33.9837,9.5673,34.0106
zeb,38130,33.2840,9.6197,34.0025
hiba,49224,33.5909,9.5953,34.0018
Ġrul,2155,33.6643,9.5889,33.9994
Thumbnail,35523,33.5741,9.5917,33.9845
reau,43611,33.7148,9.5791,33.9787
ĺħ,11805,33.3370,9.6016,33.9534
ties,4278,33.1211,9.6015,33.8926
Ġtoile,13392,33.5090,9.5704,33.8910
chuk,46019,33.3169,9.5672,33.8260
itiveness,31366,32.8856,9.5896,33.7842
gencies,33333,32.8589,9.5910,33.7815
itud,26331,32.4782,9.6119,33.7463
otin,41403,32.8568,9.5713,33.7116
adr,41909,32.6150,9.5887,33.7040
bard,23024,32.6278,9.5869,33.7012
aspers,49412,32.9876,9.5542,33.6882
elist,46331,32.0180,9.6095,33.6049
teness,43205,32.0805,9.5937,33.5679
ships,26313,31.9359,9.6053,33.5664
flies,27959,32.1349,9.5801,33.5359
shire,10932,32.0040,9.5852,33.5160
arios,13010,31.9847,9.5791,33.4888
atari,35554,31.7821,9.5597,33.3621
adish,48563,31.2766,9.6022,33.3614
icago,4549,31.4646,9.5837,33.3527
Dispatch,49354,31.4821,9.5780,33.3380
vae,33353,31.2620,9.5961,33.3358
zin,42140,31.4542,9.5722,33.3095
foundland,42030,31.5173,9.5647,33.3022
romy,50228,31.0363,9.6006,33.2839
bender,45666,31.0334,9.6006,33.2833
adesh,13410,31.1715,9.5811,33.2569
Ġfundament,14387,31.5095,9.5522,33.2564
ueller,16466,31.2185,9.5757,33.2520
Ġsubp,22718,30.8548,9.6021,33.2346
yrus,21180,31.1774,9.5710,33.2234
inka,48955,30.8263,9.6011,33.2227
folios,45242,31.1386,9.5696,33.2069
dain,27162,30.6388,9.6123,33.2047
ĠTuls,33219,30.9942,9.5800,33.2000
gradient,49607,30.9659,9.5814,33.1963
@#&,48193,30.7861,9.5889,33.1683
Quantity,31208,30.2286,9.6341,33.1543
enger,6540,30.9223,9.5679,33.1367
lag,30909,30.6275,9.5928,33.1336
jee,34589,30.6372,9.5916,33.1325
reb,34806,30.4884,9.5995,33.1147
cest,9165,30.4954,9.5915,33.0891
Ġtarg,2103,30.3269,9.6052,33.0850
Ġrecip,7450,30.3489,9.5993,33.0713
anie,34166,30.6908,9.5668,33.0631
vic,25531,30.2934,9.5960,33.0431
pak,41091,30.3650,9.5890,33.0409
erville,33487,30.5251,9.5650,33.0069
asin,47337,29.8816,9.6162,32.9850
alys,26266,30.1603,9.5851,32.9646
JV,41697,29.8359,9.6133,32.9609
clud,758,30.1114,9.5867,32.9550
isson,30927,30.1211,9.5826,32.9439
dyl,30360,30.0668,9.5733,32.8953
inea,18343,29.7865,9.5985,32.8949
hao,23778,29.9282,9.5851,32.8928
=-=-,16822,29.8723,9.5890,32.8888
imental,9134,29.6992,9.6022,32.8804
leground,28272,29.8993,9.5830,32.8767
laughter,27815,29.7078,9.5970,32.8650
isers,21572,29.4344,9.6212,32.8618
rio,27250,29.8774,9.5785,32.8543
opa,26186,29.6965,9.5939,32.8509
ĠHeist,50157,29.3523,9.6245,32.8472
endment,5904,30.0044,9.5601,32.8306
ional,1538,29.6402,9.5925,32.8287
metry,41935,29.5724,9.5935,32.8109
ourke,49003,29.7086,9.5685,32.7676
ILY,33340,29.8663,9.5532,32.7643
adan,29157,29.5344,9.5825,32.7611
ĠDPR,41176,29.5864,9.5731,32.7454
Ġsubsequ,6399,29.5247,9.5756,32.7346
ldom,23826,29.6577,9.5597,32.7219
istas,37503,29.1625,9.6045,32.7188
Ġappre,5208,29.6103,9.5611,32.7117
ocaust,16377,29.6281,9.5533,32.6907
translation,41519,29.1284,9.5983,32.6868
Ġiod,41080,28.9933,9.6068,32.6725
oak,15877,28.8213,9.6202,32.6627
uterte,23314,29.4360,9.5621,32.6604
llo,18798,29.3542,9.5664,32.6494
chool,1251,28.9924,9.5874,32.6061
asonic,30189,29.1069,9.5765,32.6057
Override,37961,29.0691,9.5792,32.6028
È,132,29.0267,9.5830,32.6021
lust,38878,28.7693,9.6043,32.5921
ropy,28338,29.0064,9.5789,32.5817
acements,28613,28.6445,9.6074,32.5621
ç¥ŀ,15351,28.9299,9.5785,32.5561
DAY,26442,28.6316,9.6068,32.5560
anyl,34816,28.6862,9.5969,32.5402
comed,15128,28.4893,9.6144,32.5354
legram,30536,28.6965,9.5917,32.5258
atoon,23122,28.8725,9.5736,32.5208
«ĺ,45865,28.9705,9.5552,32.4898
properties,48310,28.6012,9.5888,32.4850
ĠESV,33910,28.4446,9.6026,32.4810
[_,29795,28.4621,9.6008,32.4805
crop,31476,28.8330,9.5638,32.4751
vag,29821,28.4466,9.6000,32.4727
alid,10751,28.5581,9.5887,32.4706
Ġeconom,1707,28.6375,9.5801,32.4673
ctica,28914,28.8813,9.5542,32.4579
enfranch,39827,28.7156,9.5681,32.4517
bread,29573,28.3991,9.5981,32.4508
ĠMFT,43910,28.1296,9.6219,32.4427
Demand,42782,28.3381,9.6016,32.4426
iliary,28129,28.4354,9.5874,32.4266
%);,49563,28.7138,9.5552,32.4076
ĠProced,23652,28.4088,9.5840,32.4063
ĠGEAR,43790,28.2860,9.5917,32.3923
elong,21537,28.5702,9.5641,32.3913
ĠCipher,44334,28.4145,9.5785,32.3898
casts,40924,28.4294,9.5752,32.3832
Tea,49770,28.1886,9.5959,32.3744
artz,13636,28.3829,9.5737,32.3631
ĠWinc,35898,28.0962,9.5979,32.3506
OAD,41048,28.1262,9.5942,32.3481
ĠAnge,49759,27.8536,9.6208,32.3475
agnetic,25145,28.2534,9.5805,32.3438
Cub,43632,27.9133,9.6096,32.3296
iesta,36283,28.5665,9.5456,32.3274
ĠCrate,37504,27.9226,9.6069,32.3237
ilities,2410,28.0342,9.5952,32.3211
IRE,41736,28.1868,9.5770,32.3101
INAL,17961,27.8644,9.6084,32.3093
omorph,25831,28.2240,9.5729,32.3086
ATURE,40086,28.3435,9.5597,32.3028
die,11979,28.1673,9.5766,32.3025
PF,42668,28.1988,9.5695,32.2886
dress,49380,27.9122,9.5948,32.2794
arte,32074,28.0297,9.5830,32.2787
Ġmarqu,44054,27.7963,9.6059,32.2783
Ġdissatisf,27570,28.0075,9.5845,32.2763
egg,33856,27.8336,9.5991,32.2679
hawk,40624,27.9960,9.5828,32.2669
orer,11934,27.8990,9.5919,32.2654
ornings,28863,28.2103,9.5593,32.2579
ilde,44725,27.9542,9.5826,32.2524
trump,40954,27.7641,9.6010,32.2511
Course,49046,27.6866,9.6084,32.2501
mate,9830,27.8414,9.5924,32.2479
""",37811,28.1617,9.5584,32.2390
WT,39386,27.8092,9.5892,32.2262
UTH,24318,28.1124,9.5590,32.2250
phans,44464,28.0197,9.5680,32.2248
oru,27786,27.9230,9.5751,32.2168
ĠLovecraft,37655,27.4202,9.6253,32.2168
