sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
factory,3,148.6270,22.7950,125.8320,9.5476,0.4286,0.1807
organism,2,140.2346,14.6044,125.6302,9.5373,0.4330,0.1158
